id,comercio,giro,latitud,longitud
1,Reco Alimentos,ALIMENTOS,25.67687362,-100.3550536
2,Cárnicos del Noreste S.A. de C.V.,CARNICERIA,25.67738569,-100.3623149
3,Almacén La Nacional,ALIMENTOS,25.67812056,-100.3628942
4,H.B. Alimentos S.A. de C.V.,ALIMENTOS,25.6750058,-100.3695032
5,Distribuidora de Concentrados Naturales del Norte,ALIMENTOS,25.67519073,-100.3251175
6,Distribuidora Ejidal de Alimentos,ALIMENTOS,25.67634257,-100.3171589
7,LA HACIENDA,ALIMENTOS,25.67674869,-100.3164294
8,Carnes Empacadora del Noreste,CARNICERIA,25.70977359,-100.3604265
9,Colorantes y Aditivos para Alimentos Viplosa S.A. de C.V,ALIMENTOS,25.67601381,-100.3094127
10,"Abastecedora de Alimentos Ramos, S.A. de C.V.",ALIMENTOS,25.68765409,-100.3255807
11,Sal Al Grano,ALIMENTOS,25.70552016,-100.336622
12,OPERADORA ORCA,ALIMENTOS,25.73625851,-100.350579
13,PRODUCTOS ALIMENTICIOS LA HACIENDA,ALIMENTOS,25.68047726,-100.3003243
14,Comercializadora de Alimentos la Colmena SA DE CV,ALIMENTOS,25.68008698,-100.2923851
15,Mega Alimentos,ALIMENTOS,25.70372207,-100.4706927
16,ARSA distribuidora,ALIMENTOS,25.77311235,-100.4035378
17,JJ Alimentos,ALIMENTOS,25.74829887,-100.2267428
18,La Catedral Alimentos,ALIMENTOS,25.65887713,-100.3772898
19,Alimentos y Carnes San Pedro,CARNICERIA,25.666923,-100.4009791
20,Comercial de Carnes de Monterrey,CARNICERIA,25.72400214,-100.3426166